Topic,Words,Frequency,Class
120,"cheney, biden, obama, mohammed, vice",0.001098901098901099,pittsburgh post-gazette
121,"force, defense, marine, air, military",0.004395604395604396,pittsburgh post-gazette
-1,"mr, said, terrorism, state, terrorist",0.31071964017991005,the new york times
0,"french, france, paris, macron, attack",0.03354572713643179,the new york times
1,"london, british, britain, police, said",0.03204647676161919,the new york times
2,"pakistan, pakistani, afghanistan, islamabad, taliban",0.017616191904047975,the new york times
3,"arafat, palestinian, israel, israeli, peace",0.01649175412293853,the new york times
4,"libya, libyan, qaddafi, colonel, american",0.018740629685157422,the new york times
5,"terrorist, terrorism, suicide, laqueur, violence",0.016304347826086956,the new york times
6,"iran, hostage, iranian, reagan, american",0.01649175412293853,the new york times
7,"turkey, turkish, armenian, istanbul, coup",0.016679160419790104,the new york times
8,"nicaragua, salvador, salvadoran, chile, el",0.01649175412293853,the new york times
9,"basque, spain, spanish, madrid, eta",0.014805097451274363,the new york times
10,"india, indian, pakistan, kashmir, mumbai",0.013868065967016492,the new york times
11,"film, movie, play, novel, character",0.012181409295352323,the new york times
12,"ireland, irish, northern, british, ira",0.009557721139430285,the new york times
13,"bill, clinton, provision, legislation, oklahoma",0.0074962518740629685,the new york times
14,"russia, russian, putin, moscow, kremlin",0.009557721139430285,the new york times
15,"israeli, palestinian, israel, jewish, bank",0.009557721139430285,the new york times
16,"italian, italy, brigade, red, rome",0.008245877061469266,the new york times
17,"germany, german, berlin, franco, far",0.009370314842578711,the new york times
18,"patriot, program, surveillance, act, nsa",0.007683658170914542,the new york times
19,"iraq, iraqi, baghdad, sunni, al",0.008058470764617692,the new york times
20,"bureau, fbi, mueller, investigation, intelligence",0.00843328335832084,the new york times
21,"muslim, fahad, islam, king, awlaki",0.006559220389805097,the new york times
22,"syrian, syria, assad, damascus, arab",0.008620689655172414,the new york times
23,"homeland, department, wolf, threat, alert",0.007683658170914542,the new york times
24,"south, africa, african, black, zimbabwe",0.008620689655172414,the new york times
25,"saudi, arabia, kingdom, riyadh, al",0.007683658170914542,the new york times
26,"indonesia, indonesian, jakarta, bashir, bali",0.0074962518740629685,the new york times
27,"nuclear, weapon, plutonium, reactor, nest",0.005997001499250375,the new york times
