colocate,label,score_normalized,score
colonel,1980 - 1985,1.0840387693918438e-06,0.4691427103460164
come,1980 - 1985,1.4191340845469543e-05,6.141629151716391
comment,1980 - 1985,1.771372796361869e-06,0.7666023191999152
common,1980 - 1985,1.1753355794540462e-05,5.08653504727066
compare,1980 - 1985,1.294896465843303e-05,5.603962282124038
concern,1980 - 1985,5.000801246945128e-05,21.64211758044184
concerned,1980 - 1985,9.283220924493823e-06,4.017527369155966
conclusion,1980 - 1985,1.1278298204316324e-05,4.880942948776588
condemn,1980 - 1985,0.0001472676910979,63.73348047952984
condemnation,1980 - 1985,4.8591094335643426e-05,21.02891366891941
condone,1980 - 1985,0.0001098056038838,47.520900609625485
conference,1980 - 1985,6.024753866437689e-06,2.6073508050398377
congress,1980 - 1985,2.9411657764580625e-07,0.1272857136575085
consider,1980 - 1985,3.288491829892895e-05,14.231704746982375
contain,1980 - 1985,1.4488464711529982e-05,6.270216338602965
contend,1980 - 1985,7.522439355308922e-06,3.255508647115108
continue,1980 - 1985,2.5892587459459288e-05,11.205612752592575
contribute,1980 - 1985,1.2168855951126285e-05,5.266352296536775
control,1980 - 1985,4.408993285420173e-06,1.9080932511111444
convention,1980 - 1985,2.877008457935431e-05,12.450915813660904
convict,1980 - 1985,1.8576506516537327e-05,8.03941045468141
cooperation,1980 - 1985,1.0621867693293717e-05,4.596857547229801
cope,1980 - 1985,6.304358909645474e-05,27.283563184040005
cost,1980 - 1985,1.7540952115336728e-05,7.591250469810621
could,1980 - 1985,2.567148915436905e-05,11.109927375803755
counter,1980 - 1985,0.0036028170517477,1559.2019439360363
country,1980 - 1985,2.862654753140582e-05,12.38879685480909
course,1980 - 1985,1.9240312296819263e-05,8.326687673631362
coverage,1980 - 1985,2.7279968782347076e-05,11.806033929842693
crackdown,1980 - 1985,1.8166671194288132e-05,7.862044792765658
create,1980 - 1985,1.8662491041061375e-06,0.8076622235313256
crime,1980 - 1985,6.147738237348664e-05,26.60575120192094
criminal,1980 - 1985,5.917559405695551e-06,2.5609599366810807
curb,1980 - 1985,0.0001568244108623,67.86937076212664
danger,1980 - 1985,2.239458323609358e-05,9.691770970833929
deal,1980 - 1985,0.0001171081875099,50.68126163324941
dealing,1980 - 1985,0.000234846962613,101.63542455094311
debate,1980 - 1985,1.6501233182209107e-05,7.141288187964182
decline,1980 - 1985,1.9002886618707917e-05,8.223936250638081
defense,1980 - 1985,2.496493847891754e-06,1.080415132033658
define,1980 - 1985,0.0001067177916717,46.18457885516049
definition,1980 - 1985,0.0002776962248977,120.1794283376946
demand,1980 - 1985,2.230647260285468e-07,0.0965363906775522
denounce,1980 - 1985,4.790512623959343e-05,20.732045198087565
describe,1980 - 1985,3.587793768645357e-06,1.5527002726379568
despite,1980 - 1985,1.620917250972801e-06,0.7014892214552519
deter,1980 - 1985,1.8864203164484325e-05,8.163917796103375
deterrent,1980 - 1985,7.297100733204673e-05,31.57988175611186
direct,1980 - 1985,3.853335131275165e-05,16.67619404767347
disappear,1980 - 1985,1.9559866229197547e-05,8.46498198760851
discuss,1980 - 1985,1.4914924820280703e-05,6.454776759247341
distinguish,1980 - 1985,2.757139037674376e-05,11.932153327514529
domestic,1980 - 1985,0.0001226358455497,53.07348278608384
dr,1980 - 1985,2.0324098984766135e-06,0.8795721289934195
drama,1980 - 1985,3.358317686287847e-05,14.533892200478505
drug,1980 - 1985,8.921619902327043e-06,3.8610362099897815
early,1980 - 1985,6.493519229667582e-07,0.2810219797580928
east,1980 - 1985,3.3261290977947126e-08,0.0143945886803991
effect,1980 - 1985,8.179950441894635e-06,3.5400616925900668
effort,1980 - 1985,5.192627795035277e-06,2.247229108740802
