rank,word_of_interest,colocate,score,score_normalized,label
107,terrorism,"('terrorism', 'czar')",65.99742472947675,3.810358270184385e-05,2001 - 2005
108,terrorism,"('people', 'terrorism')",61.981999453047095,3.57852787720971e-05,2001 - 2005
109,terrorism,"('attack', 'terrorism')",59.79655154948162,3.4523511433819646e-05,2001 - 2005
110,terrorism,"('breed', 'terrorism')",59.051282199159616,3.409323051844234e-05,2001 - 2005
111,terrorism,"('tackle', 'terrorism')",59.00563365088779,3.406687535016988e-05,2001 - 2005
112,terrorism,"('terrorism', 'top')",58.263290349691985,3.363828378790486e-05,2001 - 2005
113,terrorism,"('purchase', 'terrorism')",57.794486269693046,3.3367619968726734e-05,2001 - 2005
114,terrorism,"('nuclear', 'terrorism')",57.576570474657146,3.324180638505701e-05,2001 - 2005
115,terrorism,"('terrorism', 'drill')",57.28852008323946,3.307550062454178e-05,2001 - 2005
116,terrorism,"('terrorism', 'wherever')",56.166524424955085,3.2427716949166735e-05,2001 - 2005
117,terrorism,"('terrorism', 'bubble')",56.005499249044036,3.23347491381869e-05,2001 - 2005
118,terrorism,"('renounce', 'terrorism')",55.25838651474676,3.1903403945922416e-05,2001 - 2005
119,terrorism,"('obstruct', 'terrorism')",54.65077908353372,3.1552602075995205e-05,2001 - 2005
120,terrorism,"('terrorism', 'analyst')",54.35221618760942,3.138022692585586e-05,2001 - 2005
121,terrorism,"('reduce', 'terrorism')",53.72454231804054,3.101783970700697e-05,2001 - 2005
122,terrorism,"('group', 'terrorism')",52.76342999273912,3.0462941949662696e-05,2001 - 2005
123,terrorism,"('respond', 'terrorism')",52.66504968878222,3.0406142126587476e-05,2001 - 2005
124,terrorism,"('terrorism', 'training')",51.454787591959516,2.9707397863667866e-05,2001 - 2005
125,terrorism,"('leader', 'terrorism')",50.94340661843843,2.9412152294669062e-05,2001 - 2005
126,terrorism,"('terrorism', 'finance')",50.751599631222604,2.930141261914191e-05,2001 - 2005
127,terrorism,"('catastrophe', 'terrorism')",50.462967723299265,2.913477112034058e-05,2001 - 2005
128,terrorism,"('eliminate', 'terrorism')",50.42954825747215,2.9115476407172384e-05,2001 - 2005
129,terrorism,"('terrorism', 'worldwide')",49.7858408569367,2.874383223662134e-05,2001 - 2005
130,terrorism,"('standalone', 'terrorism')",49.69128780941037,2.8689242078279574e-05,2001 - 2005
131,terrorism,"('terrorism', 'specialist')",48.86899681163984,2.821449275030258e-05,2001 - 2005
132,terrorism,"('two', 'terrorism')",48.31473525030732,2.789449009372538e-05,2001 - 2005
133,terrorism,"('confront', 'terrorism')",48.14072067050817,2.779402285640692e-05,2001 - 2005
134,terrorism,"('terrorism', 'remains')",47.70712867554064,2.7543688718267072e-05,2001 - 2005
135,terrorism,"('terrorism', 'unit')",47.40947154981232,2.7371836514132254e-05,2001 - 2005
136,terrorism,"('official', 'terrorism')",47.33730568782612,2.7330171587027716e-05,2001 - 2005
137,terrorism,"('fund', 'terrorism')",47.241627411638554,2.7274931778437817e-05,2001 - 2005
138,terrorism,"('ending', 'terrorism')",47.01417404060109,2.714361167966632e-05,2001 - 2005
139,terrorism,"('prevention', 'terrorism')",46.423809410842914,2.6802764933199453e-05,2001 - 2005
140,terrorism,"('deter', 'terrorism')",45.317280429518334,2.616391093662742e-05,2001 - 2005
141,terrorism,"('commit', 'terrorism')",44.94957835166946,2.5951618311719942e-05,2001 - 2005
142,terrorism,"('kind', 'terrorism')",44.915786747272776,2.593210874452039e-05,2001 - 2005
143,terrorism,"('many', 'terrorism')",44.73320510421975,2.5826695317187033e-05,2001 - 2005
144,terrorism,"('bomb', 'terrorism')",44.41161787011582,2.564102707602817e-05,2001 - 2005
145,terrorism,"('country', 'terrorism')",44.31287925808569,2.5584020383952272e-05,2001 - 2005
146,terrorism,"('public', 'terrorism')",44.068640032504725,2.5443008979808772e-05,2001 - 2005
147,terrorism,"('bill', 'terrorism')",43.96888664282004,2.538541640632246e-05,2001 - 2005
148,terrorism,"('agri', 'terrorism')",43.80883219681779,2.5293009045807367e-05,2001 - 2005
149,terrorism,"('narco', 'terrorism')",43.71991015749869,2.524166994745466e-05,2001 - 2005
150,terrorism,"('terrorism', 'department')",43.624095143806585,2.5186351193529636e-05,2001 - 2005
151,terrorism,"('relate', 'terrorism')",43.06757844365259,2.486504653359487e-05,2001 - 2005
152,terrorism,"('terrorism', 'response')",42.96395660470259,2.480522051271098e-05,2001 - 2005
153,terrorism,"('terrorism', 'become')",42.502833914634664,2.4538991540463638e-05,2001 - 2005
154,terrorism,"('terrorism', 'kibaki')",42.33024409323208,2.4439346886747738e-05,2001 - 2005
155,terrorism,"('solution', 'terrorism')",41.758870752891156,2.4109464752459166e-05,2001 - 2005
156,terrorism,"('terrorism', 'year')",41.70044697770254,2.407573381282359e-05,2001 - 2005
157,terrorism,"('soft', 'terrorism')",41.6260453212517,2.403277805081698e-05,2001 - 2005
158,terrorism,"('subcommittee', 'terrorism')",40.898862021786215,2.3612939108552807e-05,2001 - 2005
159,terrorism,"('terrorism', 'define')",40.769765645437786,2.353840537526149e-05,2001 - 2005
160,terrorism,"('involve', 'terrorism')",40.70105378065897,2.3498734611850196e-05,2001 - 2005
161,terrorism,"('terrorism', 'involve')",40.70105378065897,2.3498734611850196e-05,2001 - 2005
162,terrorism,"('states', 'terrorism')",40.355667171754305,2.3299325812636394e-05,2001 - 2005
163,terrorism,"('modern', 'terrorism')",39.72482690419507,2.2935110475369443e-05,2001 - 2005
164,terrorism,"('price', 'terrorism')",39.667831571584436,2.290220424639687e-05,2001 - 2005
165,terrorism,"('terrorism', 'issue')",39.54956783099924,2.283392473036289e-05,2001 - 2005
166,terrorism,"('type', 'terrorism')",39.48860356250354,2.2798727038089218e-05,2001 - 2005
167,terrorism,"('since', 'terrorism')",39.43104007517879,2.276549278525472e-05,2001 - 2005
168,terrorism,"('america', 'terrorism')",39.34534460043149,2.2716016542468093e-05,2001 - 2005
169,terrorism,"('security', 'terrorism')",39.23320306894651,2.2651271681031995e-05,2001 - 2005
170,terrorism,"('terrorism', 'fight')",39.16980353701453,2.261466799053755e-05,2001 - 2005
171,terrorism,"('crime', 'terrorism')",38.70260427520814,2.2344930712402067e-05,2001 - 2005
172,terrorism,"('government', 'terrorism')",38.65936288905456,2.231996531806738e-05,2001 - 2005
173,terrorism,"('concern', 'terrorism')",38.160307679834396,2.2031836023397896e-05,2001 - 2005
174,terrorism,"('terrorism', 'quotient')",37.72237117287119,2.1778993583262863e-05,2001 - 2005
175,terrorism,"('administration', 'terrorism')",37.43094416014165,2.1610738331991948e-05,2001 - 2005
176,terrorism,"('week', 'terrorism')",37.13247072411711,2.1438414831484437e-05,2001 - 2005
177,terrorism,"('abhor', 'terrorism')",36.839026625830165,2.1268995016798082e-05,2001 - 2005
178,terrorism,"('impact', 'terrorism')",36.81035380912272,2.1252440779307977e-05,2001 - 2005
179,terrorism,"('coalition', 'terrorism')",36.42906042421607,2.1032301219544707e-05,2001 - 2005
180,terrorism,"('must', 'terrorism')",36.15022871769999,2.087131786250189e-05,2001 - 2005
181,terrorism,"('promote', 'terrorism')",36.019925610063204,2.0796087423458293e-05,2001 - 2005
182,terrorism,"('terrorism', 'occur')",35.85256433730211,2.0699461469886957e-05,2001 - 2005
183,terrorism,"('root', 'terrorism')",35.50118891956309,2.0496595034657193e-05,2001 - 2005
184,terrorism,"('terrorism', 'particularly')",35.41969666478885,2.0449545518981723e-05,2001 - 2005
185,terrorism,"('regarding', 'terrorism')",35.41956330090197,2.0449468521403196e-05,2001 - 2005
186,terrorism,"('suicide', 'terrorism')",35.30442820020695,2.038299532416557e-05,2001 - 2005
187,terrorism,"('terrorism', 'seriously')",35.08487279202211,2.025623511060118e-05,2001 - 2005
188,terrorism,"('york', 'terrorism')",34.84575384770587,2.0118179898482246e-05,2001 - 2005
189,terrorism,"('target', 'terrorism')",34.612122267285386,1.998329281337545e-05,2001 - 2005
190,terrorism,"('agency', 'terrorism')",34.551992674873475,1.9948577020953445e-05,2001 - 2005
191,terrorism,"('terrorism', 'city')",33.86685896481328,1.9553015389721494e-05,2001 - 2005
192,terrorism,"('terrorism', 'bigotry')",33.83352752531232,1.9533771498512066e-05,2001 - 2005
193,terrorism,"('go', 'terrorism')",33.65648379266739,1.943155538119641e-05,2001 - 2005
194,terrorism,"('covering', 'terrorism')",33.57380564452408,1.9383821190531743e-05,2001 - 2005
195,terrorism,"('lack', 'terrorism')",33.4990407078672,1.9340655688865875e-05,2001 - 2005
196,terrorism,"('terrorism', 'warning')",33.42291333565151,1.9296703585659047e-05,2001 - 2005
197,terrorism,"('understanding', 'terrorism')",33.421652443104016,1.9295975609928806e-05,2001 - 2005
198,terrorism,"('offering', 'terrorism')",32.90748289798127,1.899912006040304e-05,2001 - 2005
199,terrorism,"('treatment', 'terrorism')",32.72705714800742,1.889495133694374e-05,2001 - 2005
200,terrorism,"('risk', 'terrorism')",32.44977513247005,1.873486269327212e-05,2001 - 2005
201,terrorism,"('thwart', 'terrorism')",32.41682662300851,1.8715839886544183e-05,2001 - 2005
202,terrorism,"('terrorism', 'works')",32.262472877416556,1.8626723822779418e-05,2001 - 2005
203,terrorism,"('washington', 'terrorism')",31.81023053141277,1.8365621913078163e-05,2001 - 2005
204,terrorism,"('issue', 'terrorism')",31.72383684411946,1.831574255760041e-05,2001 - 2005
205,terrorism,"('afford', 'terrorism')",31.70734571496897,1.8306221411798005e-05,2001 - 2005
206,terrorism,"('month', 'terrorism')",31.515563279346388,1.819549591112188e-05,2001 - 2005
207,terrorism,"('terrorism', 'home')",30.9407455928918,1.7863625185194563e-05,2001 - 2005
208,terrorism,"('house', 'terrorism')",30.9281312877592,1.785634232194927e-05,2001 - 2005
209,terrorism,"('years', 'terrorism')",30.640031091923788,1.7690007806876458e-05,2001 - 2005
210,terrorism,"('terrorism', 'week')",30.63894805234959,1.7689382514478245e-05,2001 - 2005
211,terrorism,"('convention', 'terrorism')",30.630052187125095,1.7684246490797393e-05,2001 - 2005
212,terrorism,"('victory', 'terrorism')",30.630052187125095,1.7684246490797393e-05,2001 - 2005
213,terrorism,"('kill', 'terrorism')",30.56746106316195,1.7648109534270574e-05,2001 - 2005
214,terrorism,"('may', 'terrorism')",30.558802265909165,1.7643110381673752e-05,2001 - 2005
215,terrorism,"('terrorism', 'defeat')",30.479102970524252,1.7597096030274045e-05,2001 - 2005
216,terrorism,"('terrorism', 'tactic')",30.380272568097464,1.754003634305501e-05,2001 - 2005
217,terrorism,"('specter', 'terrorism')",29.805436406304793,1.7208154950399783e-05,2001 - 2005
218,terrorism,"('law', 'terrorism')",29.789250217442074,1.7198809861731757e-05,2001 - 2005
219,terrorism,"('reminder', 'terrorism')",29.62606886079024,1.710459718079657e-05,2001 - 2005
220,terrorism,"('terrorism', 'exist')",29.513477759517443,1.7039592760451005e-05,2001 - 2005
221,terrorism,"('terrorism', 'research')",29.472376556875204,1.7015863000078638e-05,2001 - 2005
222,terrorism,"('terrorism', 'list')",29.313823434065462,1.6924322427815698e-05,2001 - 2005
223,terrorism,"('extend', 'terrorism')",29.313796824987335,1.6924307065076724e-05,2001 - 2005
224,terrorism,"('terrorism', 'strategy')",28.844361768428257,1.665327895187287e-05,2001 - 2005
225,terrorism,"('terrorism', 'probe')",28.614521761778562,1.652058093013237e-05,2001 - 2005
226,terrorism,"('terrorism', 'crime')",28.589011725870407,1.6505852722676736e-05,2001 - 2005
227,terrorism,"('suspicion', 'terrorism')",28.55492191906833,1.6486170988456088e-05,2001 - 2005
228,terrorism,"('terrorism', 'direct')",28.545861048189252,1.6480939698836727e-05,2001 - 2005
229,terrorism,"('terrorism', 'affect')",28.533805973433143,1.647397970699115e-05,2001 - 2005
230,terrorism,"('wipe', 'terrorism')",28.51927983490951,1.6465593047620085e-05,2001 - 2005
231,terrorism,"('worry', 'terrorism')",28.503496198816713,1.6456480372607946e-05,2001 - 2005
232,terrorism,"('plan', 'terrorism')",28.00235191840499,1.6167144953650374e-05,2001 - 2005
233,terrorism,"('terrorism', 'transcend')",28.001185661323753,1.6166471615662888e-05,2001 - 2005
234,terrorism,"('terrorism', 'years')",27.90641871369835,1.6111757962197664e-05,2001 - 2005
235,terrorism,"('approach', 'terrorism')",27.839836240249582,1.6073316601887807e-05,2001 - 2005
236,terrorism,"('terrorism', 'including')",27.8072124769446,1.6054481287203453e-05,2001 - 2005
237,terrorism,"('reality', 'terrorism')",27.742539432606804,1.6017142334909385e-05,2001 - 2005
238,terrorism,"('word', 'terrorism')",27.742539432606804,1.6017142334909385e-05,2001 - 2005
239,terrorism,"('backstop', 'terrorism')",27.64944927709931,1.5963396776599396e-05,2001 - 2005
240,terrorism,"('terrorism', 'incident')",27.247726599243858,1.57314623739827e-05,2001 - 2005
241,terrorism,"('excuse', 'terrorism')",27.109894228862327,1.565188491856908e-05,2001 - 2005
242,terrorism,"('terrorism', 'university')",27.107458420363045,1.5650478605656433e-05,2001 - 2005
243,terrorism,"('coverage', 'terrorism')",27.047728379913103,1.561599349437523e-05,2001 - 2005
244,terrorism,"('city', 'terrorism')",26.809490941230855,1.5478447219127162e-05,2001 - 2005
245,terrorism,"('convict', 'terrorism')",26.78579498339148,1.5464766368807122e-05,2001 - 2005
246,terrorism,"('year', 'terrorism')",26.746274353556316,1.5441949151415294e-05,2001 - 2005
247,terrorism,"('curb', 'terrorism')",26.687319749368708,1.5407911737902193e-05,2001 - 2005
248,terrorism,"('terrorism', 'trial')",26.512342477390163,1.5306888690698358e-05,2001 - 2005
249,terrorism,"('constitute', 'terrorism')",26.50277451937159,1.5301364634553096e-05,2001 - 2005
250,terrorism,"('terrorism', 'flourish')",26.40012880291166,1.5242102177538251e-05,2001 - 2005
251,terrorism,"('terrorism', 'sprout')",26.37788748181779,1.522926116107174e-05,2001 - 2005
252,terrorism,"('terrorism', 'even')",26.213124658050845,1.513413542082768e-05,2001 - 2005
253,terrorism,"('laden', 'terrorism')",26.192803052676098,1.5122402751345426e-05,2001 - 2005
254,terrorism,"('available', 'terrorism')",26.180558903418017,1.5115333597423415e-05,2001 - 2005
255,terrorism,"('condone', 'terrorism')",26.17907920950964,1.511447929682847e-05,2001 - 2005
256,terrorism,"('court', 'terrorism')",26.02627555054145,1.5026258174860381e-05,2001 - 2005
257,terrorism,"('general', 'terrorism')",25.98548660953194,1.5002708698597525e-05,2001 - 2005
258,terrorism,"('terror', 'terrorism')",25.84172034619339,1.4919705312824371e-05,2001 - 2005
259,terrorism,"('terrorism', 'terror')",25.84172034619339,1.4919705312824371e-05,2001 - 2005
260,terrorism,"('afghanistan', 'terrorism')",25.80973492133142,1.4901238542545417e-05,2001 - 2005
261,terrorism,"('member', 'terrorism')",25.768089392345836,1.4877194515609993e-05,2001 - 2005
262,terrorism,"('terrorism', 'security')",25.75047791478049,1.4867026537167448e-05,2001 - 2005
263,terrorism,"('stance', 'terrorism')",25.711981597714956,1.4844800706280326e-05,2001 - 2005
